Name,Start,Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static,time(ms),nblock,states,exp,,,
"test(int, int, int)",1032511934,87577464,1,1,1,1024,1,1,37,304,6352,87.577464,77,310,,,,
"test(int, int, int)",1211701520,88429757,1,1,1,1024,1,1,37,304,6352,88.429757,78,221,,,,
"test(int, int, int)",1211701520,101216554,1,1,1,1024,1,1,37,304,6352,101.216554,79,212,,,,
"test(int, int, int)",1211701648,150064231,1,1,1,1024,1,1,37,304,6352,150.064231,80,212,,,,
"test(int, int, int)",1211701808,148036647,1,1,1,1024,1,1,37,304,6352,148.036647,81,223,,,,
"test(int, int, int)",1211701840,89150118,1,1,1,1024,1,1,37,304,6352,89.150118,82,302,,,,
"test(int, int, int)",1211701936,94089547,1,1,1,1024,1,1,37,304,6352,94.089547,83,300,,,,
"test(int, int, int)",1211702032,101422627,1,1,1,1024,1,1,37,304,6352,101.422627,84,222,,,,
"test(int, int, int)",1211702160,142631153,1,1,1,1024,1,1,37,304,6352,142.631153,85,211,,,,
"test(int, int, int)",1211702288,146203744,1,1,1,1024,1,1,37,304,6352,146.203744,86,224,,,,
"test(int, int, int)",1211702384,128907009,1,1,1,1024,1,1,37,304,6352,128.907009,87,214,,,,
"test(int, int, int)",1211702512,103273193,1,1,1,1024,1,1,37,304,6352,103.273193,88,323,,,,
"test(int, int, int)",1211702640,177923865,1,1,1,1024,1,1,37,304,6352,177.923865,89,210,,,,
"test(int, int, int)",1211702768,162717560,1,1,1,1024,1,1,37,304,6352,162.71756,90,310,,,,
"test(int, int, int)",1389931135,87940717,1,1,1,1024,1,1,37,304,6352,87.940717,91,221,,,,
"test(int, int, int)",1389931135,85485626,1,1,1,1024,1,1,37,304,6352,85.485626,92,313,,,,
"test(int, int, int)",1389931263,126903777,1,1,1,1024,1,1,37,304,6352,126.903777,93,208,,,,
"test(int, int, int)",1389931615,127570316,1,1,1,1024,1,1,37,304,6352,127.570316,94,280,,,,
"test(int, int, int)",1389931679,168920309,1,1,1,1024,1,1,37,304,6352,168.920309,95,268,,,,
"test(int, int, int)",1389931839,125193175,1,1,1,1024,1,1,37,304,6352,125.193175,96,302,,,,
"test(int, int, int)",1389931999,144144674,1,1,1,1024,1,1,37,304,6352,144.144674,97,294,,,,
"test(int, int, int)",1389932127,160977967,1,1,1,1024,1,1,37,304,6352,160.977967,98,375,,,,
"test(int, int, int)",1389932287,125541068,1,1,1,1024,1,1,37,304,6352,125.541068,99,321,,,,
"test(int, int, int)",1389932415,151401885,1,1,1,1024,1,1,37,304,6352,151.401885,100,302,,,,
"test(int, int, int)",1389932575,132956322,1,1,1,1024,1,1,37,304,6352,132.956322,101,257,,,,
"test(int, int, int)",1389932703,122415246,1,1,1,1024,1,1,37,304,6352,122.415246,102,301,,,,
"test(int, int, int)",1389932863,125580811,1,1,1,1024,1,1,37,304,6352,125.580811,103,297,,,,
"test(int, int, int)",1559092524,140297147,1,1,1,1024,1,1,37,304,6352,140.297147,104,288,,,,
"test(int, int, int)",1559092524,136559025,1,1,1,1024,1,1,37,304,6352,136.559025,105,261,,,,
"test(int, int, int)",1559092684,139204574,1,1,1,1024,1,1,37,304,6352,139.204574,106,289,,,,
"test(int, int, int)",1559093452,128483440,1,1,1,1024,1,1,37,304,6352,128.48344,107,260,,,,
"test(int, int, int)",1559093452,161243559,1,1,1,1024,1,1,37,304,6352,161.243559,108,292,,,,
"test(int, int, int)",1559093580,97392355,1,1,1,1024,1,1,37,304,6352,97.392355,109,303,,,,
"test(int, int, int)",1559093708,130735881,1,1,1,1024,1,1,37,304,6352,130.735881,110,253,,,,
"test(int, int, int)",1559093804,81326526,1,1,1,1024,1,1,37,304,6352,81.326526,111,298,,,,
"test(int, int, int)",1559093932,95367107,1,1,1,1024,1,1,37,304,6352,95.367107,112,272,,,,
"test(int, int, int)",1559094060,98891124,1,1,1,1024,1,1,37,304,6352,98.891124,113,285,,,,
"test(int, int, int)",1559094188,111791806,1,1,1,1024,1,1,37,304,6352,111.791806,114,285,,,,
"test(int, int, int)",1559094284,104545346,1,1,1,1024,1,1,37,304,6352,104.545346,115,289,,,,
"test(int, int, int)",1559094444,94207624,1,1,1,1024,1,1,37,304,6352,94.207624,116,249,,,,
"test(int, int, int)",1720641354,96833364,1,1,1,1024,1,1,37,304,6352,96.833364,117,275,,,,
"test(int, int, int)",1720641354,120781858,1,1,1,1024,1,1,37,304,6352,120.781858,118,271,,,,
"test(int, int, int)",1720641482,110253101,1,1,1,1024,1,1,37,304,6352,110.253101,119,263,,,,
"test(int, int, int)",1720642090,78208479,1,1,1,1024,1,1,37,304,6352,78.208479,120,318,,,,
"test(int, int, int)",1720642122,148302430,1,1,1,1024,1,1,37,304,6352,148.30243,121,269,,,,
"test(int, int, int)",1720642250,112044181,1,1,1,1024,1,1,37,304,6352,112.044181,122,248,,,,
"test(int, int, int)",1720642378,93506237,1,1,1,1024,1,1,37,304,6352,93.506237,123,262,,,,
"test(int, int, int)",1720642506,110106578,1,1,1,1024,1,1,37,304,6352,110.106578,124,282,,,,
"test(int, int, int)",1720642634,126878593,1,1,1,1024,1,1,37,304,6352,126.878593,125,268,,,,
"test(int, int, int)",1720642730,122874880,1,1,1,1024,1,1,37,304,6352,122.87488,126,260,,,,
"test(int, int, int)",1720642858,83867341,1,1,1,1024,1,1,37,304,6352,83.867341,127,361,,,,
"test(int, int, int)",1720642986,122124951,1,1,1,1024,1,1,37,304,6352,122.124951,128,267,,,,
"test(int, int, int)",1720643082,132044351,1,1,1,1024,1,1,37,304,6352,132.044351,129,252,,,,
"test(int, int, int)",1869185729,128951392,1,1,1,1024,1,1,37,304,6352,128.951392,130,293,,,,
"test(int, int, int)",1869185729,108045331,1,1,1,1024,1,1,37,304,6352,108.045331,131,178,,,,
"test(int, int, int)",1869185889,123474509,1,1,1,1024,1,1,37,304,6352,123.474509,132,225,,,,
"test(int, int, int)",1869186529,149205186,1,1,1,1024,1,1,37,304,6352,149.205186,133,258,,,,
"test(int, int, int)",1869186561,87944588,1,1,1,1024,1,1,37,304,6352,87.944588,134,287,,,,
"test(int, int, int)",1869186689,126193495,1,1,1,1024,1,1,37,304,6352,126.193495,135,252,,,,
"test(int, int, int)",1869186817,141343546,1,1,1,1024,1,1,37,304,6352,141.343546,136,236,,,,
"test(int, int, int)",1869186913,81571861,1,1,1,1024,1,1,37,304,6352,81.571861,137,251,,,,
"test(int, int, int)",1869187041,91827794,1,1,1,1024,1,1,37,304,6352,91.827794,138,300,,,,
"test(int, int, int)",1869187169,112991831,1,1,1,1024,1,1,37,304,6352,112.991831,139,291,,,,
"test(int, int, int)",1869187297,85806192,1,1,1,1024,1,1,37,304,6352,85.806192,140,272,,,,
"test(int, int, int)",1869187393,93503549,1,1,1,1024,1,1,37,304,6352,93.503549,141,291,,,,
"test(int, int, int)",1869187553,120515690,1,1,1,1024,1,1,37,304,6352,120.51569,142,302,,,,
"test(int, int, int)",2018693753,177642370,1,1,1,1024,1,1,37,304,6352,177.64237,143,304,,,,
"test(int, int, int)",2018693753,165249673,1,1,1,1024,1,1,37,304,6352,165.249673,144,294,,,,
"test(int, int, int)",2018693913,94030093,1,1,1,1024,1,1,37,304,6352,94.030093,145,292,,,,
"test(int, int, int)",2018694361,91520508,1,1,1,1024,1,1,37,304,6352,91.520508,146,260,,,,
"test(int, int, int)",2018694393,162405378,1,1,1,1024,1,1,37,304,6352,162.405378,147,583,,,,
"test(int, int, int)",2018694521,92791380,1,1,1,1024,1,1,37,304,6352,92.79138,148,290,,,,
"test(int, int, int)",2018694649,125881121,1,1,1,1024,1,1,37,304,6352,125.881121,149,315,,,,
"test(int, int, int)",2018694777,115792447,1,1,1,1024,1,1,37,304,6352,115.792447,150,487,,,,
"test(int, int, int)",2018694905,136615087,1,1,1,1024,1,1,37,304,6352,136.615087,151,277,,,,
"test(int, int, int)",2018695001,124635977,1,1,1,1024,1,1,37,304,6352,124.635977,152,265,,,,
"test(int, int, int)",2018695129,137452021,1,1,1,1024,1,1,37,304,6352,137.452021,153,268,,,,
"test(int, int, int)",2018695257,125256725,1,1,1,1024,1,1,37,304,6352,125.256725,154,312,,,,
"test(int, int, int)",2018695353,164971826,1,1,1,1024,1,1,37,304,6352,164.971826,155,280,,,,
"test(int, int, int)",2196637106,122267955,1,1,1,1024,1,1,37,304,6352,122.267955,156,276,,,,
"test(int, int, int)",2196637106,113301709,1,1,1,1024,1,1,37,304,6352,113.301709,157,292,,,,
"test(int, int, int)",2196637234,146604436,1,1,1,1024,1,1,37,304,6352,146.604436,158,470,,,,
"test(int, int, int)",2196637394,92409888,1,1,1,1024,1,1,37,304,6352,92.409888,159,453,,,,
"test(int, int, int)",2196637394,90927630,1,1,1,1024,1,1,37,304,6352,90.92763,160,272,,,,
"test(int, int, int)",2196637522,110262829,1,1,1,1024,1,1,37,304,6352,110.262829,161,179,,,,
"test(int, int, int)",2196637618,154254723,1,1,1,1024,1,1,37,304,6352,154.254723,162,188,,,,
"test(int, int, int)",2196637746,140711790,1,1,1,1024,1,1,37,304,6352,140.71179,163,188,,,,
"test(int, int, int)",2196637842,158458718,1,1,1,1024,1,1,37,304,6352,158.458718,164,312,,,,
"test(int, int, int)",2196637970,148674515,1,1,1,1024,1,1,37,304,6352,148.674515,165,325,,,,
"test(int, int, int)",2196638098,153513658,1,1,1,1024,1,1,37,304,6352,153.513658,166,310,,,,
"test(int, int, int)",2196638226,86737619,1,1,1,1024,1,1,37,304,6352,86.737619,167,315,,,,
"test(int, int, int)",2196925001,110186192,1,1,1,1024,1,1,37,304,6352,110.186192,168,184,,,,
"test(int, int, int)",2355338025,177179120,1,1,1,1024,1,1,37,304,6352,177.17912,169,317,,,,
"test(int, int, int)",2355338025,85622710,1,1,1,1024,1,1,37,304,6352,85.62271,170,308,,,,
"test(int, int, int)",2355338249,145733231,1,1,1,1024,1,1,37,304,6352,145.733231,171,130,,,,
"test(int, int, int)",2355339145,147811310,1,1,1,1024,1,1,37,304,6352,147.81131,172,315,,,,
"test(int, int, int)",2355339945,149782992,1,1,1,1024,1,1,37,304,6352,149.782992,173,305,,,,
"test(int, int, int)",2355340201,157574778,1,1,1,1024,1,1,37,304,6352,157.574778,174,316,,,,
"test(int, int, int)",2355340329,143850443,1,1,1,1024,1,1,37,304,6352,143.850443,175,312,,,,
"test(int, int, int)",2355340457,166523328,1,1,1,1024,1,1,37,304,6352,166.523328,176,301,,,,
"test(int, int, int)",2355340553,126649705,1,1,1,1024,1,1,37,304,6352,126.649705,177,289,,,,
"test(int, int, int)",2355340681,127726599,1,1,1,1024,1,1,37,304,6352,127.726599,178,291,,,,
"test(int, int, int)",2355340809,146130211,1,1,1,1024,1,1,37,304,6352,146.130211,179,124,,,,
"test(int, int, int)",2355340937,135201883,1,1,1,1024,1,1,37,304,6352,135.201883,180,133,,,,
"test(int, int, int)",2355341033,132382420,1,1,1,1024,1,1,37,304,6352,132.38242,181,125,,,,
"test(int, int, int)",2532821232,170322377,1,1,1,1024,1,1,37,304,6352,170.322377,182,126,,,,
"test(int, int, int)",2532821232,130322741,1,1,1,1024,1,1,37,304,6352,130.322741,183,136,,,,
"test(int, int, int)",2532821392,165110061,1,1,1,1024,1,1,37,304,6352,165.110061,184,129,,,,
"test(int, int, int)",2532821616,137344664,1,1,1,1024,1,1,37,304,6352,137.344664,185,298,,,,
"test(int, int, int)",2532823568,162499327,1,1,1,1024,1,1,37,304,6352,162.499327,186,293,,,,
"test(int, int, int)",2532823728,157319202,1,1,1,1024,1,1,37,304,6352,157.319202,187,300,,,,
"test(int, int, int)",2532823824,140490677,1,1,1,1024,1,1,37,304,6352,140.490677,188,295,,,,
"test(int, int, int)",2532823952,186113911,1,1,1,1024,1,1,37,304,6352,186.113911,189,317,,,,
"test(int, int, int)",2532824048,130104956,1,1,1,1024,1,1,37,304,6352,130.104956,190,294,,,,
"test(int, int, int)",2532824176,82254176,1,1,1,1024,1,1,37,304,6352,82.254176,191,328,,,,
"test(int, int, int)",2532824304,98111724,1,1,1,1024,1,1,37,304,6352,98.111724,192,298,,,,
"test(int, int, int)",2532824432,104160813,1,1,1,1024,1,1,37,304,6352,104.160813,193,342,,,,
"test(int, int, int)",2532824560,89810962,1,1,1,1024,1,1,37,304,6352,89.810962,194,340,,,,
"test(int, int, int)",2719240573,136401302,1,1,1,1024,1,1,37,304,6352,136.401302,195,347,,,,
"test(int, int, int)",2719240573,149497241,1,1,1,1024,1,1,37,304,6352,149.497241,196,348,,,,
"test(int, int, int)",2719240669,136231579,1,1,1,1024,1,1,37,304,6352,136.231579,197,350,,,,
"test(int, int, int)",2719241309,159852083,1,1,1,1024,1,1,37,304,6352,159.852083,198,639,,,,
"test(int, int, int)",2719241341,93775733,1,1,1,1024,1,1,37,304,6352,93.775733,199,348,,,,
"test(int, int, int)",2719241469,98816438,1,1,1,1024,1,1,37,304,6352,98.816438,200,323,,,,
"test(int, int, int)",2719241597,116214258,1,1,1,1024,1,1,37,304,6352,116.214258,201,338,,,,
"test(int, int, int)",2719241725,72053570,1,1,1,1024,1,1,37,304,6352,72.05357,202,330,,,,
"test(int, int, int)",2719241853,161489855,1,1,1,1024,1,1,37,304,6352,161.489855,203,320,,,,
"test(int, int, int)",2719241949,192136762,1,1,1,1024,1,1,37,304,6352,192.136762,204,340,,,,
"test(int, int, int)",2719242077,156702070,1,1,1,1024,1,1,37,304,6352,156.70207,205,349,,,,
"test(int, int, int)",2719242173,153515771,1,1,1,1024,1,1,37,304,6352,153.515771,206,300,,,,
"test(int, int, int)",2719242301,180610405,1,1,1,1024,1,1,37,304,6352,180.610405,207,288,,,,
"test(int, int, int)",2911682989,104776730,1,1,1,1024,1,1,37,304,6352,104.77673,208,296,,,,
"test(int, int, int)",2911682989,84725074,1,1,1,1024,1,1,37,304,6352,84.725074,209,266,,,,
"test(int, int, int)",2911683117,81088805,1,1,1,1024,1,1,37,304,6352,81.088805,210,278,,,,
"test(int, int, int)",2911683245,92298819,1,1,1,1024,1,1,37,304,6352,92.298819,211,285,,,,
"test(int, int, int)",2911683277,103436484,1,1,1,1024,1,1,37,304,6352,103.436484,212,289,,,,
"test(int, int, int)",2911683405,71430709,1,1,1,1024,1,1,37,304,6352,71.430709,213,299,,,,
"test(int, int, int)",2911683501,102538337,1,1,1,1024,1,1,37,304,6352,102.538337,214,294,,,,
"test(int, int, int)",2911683629,92712662,1,1,1,1024,1,1,37,304,6352,92.712662,215,579,,,,
"test(int, int, int)",2911683725,76308795,1,1,1,1024,1,1,37,304,6352,76.308795,216,297,,,,
"test(int, int, int)",2911683853,173060146,1,1,1,1024,1,1,37,304,6352,173.060146,217,277,,,,
"test(int, int, int)",2911719724,169571232,1,1,1,1024,1,1,37,304,6352,169.571232,218,299,,,,
"test(int, int, int)",2911964836,95741719,1,1,1,1024,1,1,37,304,6352,95.741719,219,583,,,,
"test(int, int, int)",2912005411,126277749,1,1,1,1024,1,1,37,304,6352,126.277749,220,298,,,,
"test(int, int, int)",3084986520,144974823,1,1,1,1024,1,1,37,304,6352,144.974823,221,594,,,,
"test(int, int, int)",3084986520,132158555,1,1,1,1024,1,1,37,304,6352,132.158555,222,291,,,,
"test(int, int, int)",3084986712,89382879,1,1,1,1024,1,1,37,304,6352,89.382879,223,291,,,,
"test(int, int, int)",3084987128,79843020,1,1,1,1024,1,1,37,304,6352,79.84302,224,282,,,,
"test(int, int, int)",3084987160,96922194,1,1,1,1024,1,1,37,304,6352,96.922194,225,292,,,,
"test(int, int, int)",3084987256,97918898,1,1,1,1024,1,1,37,304,6352,97.918898,226,316,,,,
"test(int, int, int)",3084987416,96214696,1,1,1,1024,1,1,37,304,6352,96.214696,227,392,,,,
"test(int, int, int)",3084987544,102562400,1,1,1,1024,1,1,37,304,6352,102.5624,228,273,,,,
"test(int, int, int)",3084987640,82593173,1,1,1,1024,1,1,37,304,6352,82.593173,229,279,,,,
"test(int, int, int)",3084987768,112525574,1,1,1,1024,1,1,37,304,6352,112.525574,230,311,,,,
"test(int, int, int)",3084987896,128405009,1,1,1,1024,1,1,37,304,6352,128.405009,231,373,,,,
"test(int, int, int)",3084988024,90897679,1,1,1,1024,1,1,37,304,6352,90.897679,232,385,,,,
"test(int, int, int)",3084988120,104603839,1,1,1,1024,1,1,37,304,6352,104.603839,233,378,,,,
"test(int, int, int)",3230263766,94223207,1,1,1,1024,1,1,37,304,6352,94.223207,234,361,,,,
"test(int, int, int)",3230263798,125957023,1,1,1,1024,1,1,37,304,6352,125.957023,235,371,,,,
"test(int, int, int)",3230263894,94125482,1,1,1,1024,1,1,37,304,6352,94.125482,236,373,,,,
"test(int, int, int)",3230264022,132643052,1,1,1,1024,1,1,37,304,6352,132.643052,237,380,,,,
"test(int, int, int)",3230264054,86136037,1,1,1,1024,1,1,37,304,6352,86.136037,238,373,,,,
"test(int, int, int)",3230264182,134792008,1,1,1,1024,1,1,37,304,6352,134.792008,239,387,,,,
"test(int, int, int)",3230264278,96325412,1,1,1,1024,1,1,37,304,6352,96.325412,240,376,,,,
"test(int, int, int)",3230281365,117043576,1,1,1,1024,1,1,37,304,6352,117.043576,241,380,,,,
"test(int, int, int)",3230283093,105587681,1,1,1,1024,1,1,37,304,6352,105.587681,242,296,,,,
"test(int, int, int)",3230549229,88704564,1,1,1,1024,1,1,37,304,6352,88.704564,243,300,,,,
"test(int, int, int)",3230677289,88545817,1,1,1,1024,1,1,37,304,6352,88.545817,244,288,,,,
"test(int, int, int)",3230688616,122213141,1,1,1,1024,1,1,37,304,6352,122.213141,245,302,,,,
"test(int, int, int)",3230732647,109818747,1,1,1,1024,1,1,37,304,6352,109.818747,246,297,,,,
"test(int, int, int)",3365297399,83715249,1,1,1,1024,1,1,37,304,6352,83.715249,247,309,,,,
"test(int, int, int)",3365297527,90963821,1,1,1,1024,1,1,37,304,6352,90.963821,248,297,,,,
"test(int, int, int)",3365297687,101378885,1,1,1,1024,1,1,37,304,6352,101.378885,249,301,,,,
"test(int, int, int)",3365297783,88094087,1,1,1,1024,1,1,37,304,6352,88.094087,250,301,,,,
"test(int, int, int)",3365623116,131432403,1,1,1,1024,1,1,37,304,6352,131.432403,251,284,,,,
"test(int, int, int)",3365623244,133022784,1,1,1,1024,1,1,37,304,6352,133.022784,252,297,,,,
"test(int, int, int)",3365668523,62009726,1,1,1,1024,1,1,37,304,6352,62.009726,253,296,,,,
"test(int, int, int)",3365727241,121307409,1,1,1,1024,1,1,37,304,6352,121.307409,254,296,,,,
"test(int, int, int)",3365758312,85152837,1,1,1,1024,1,1,37,304,6352,85.152837,255,305,,,,
"test(int, int, int)",3365785927,74785323,1,1,1,1024,1,1,37,304,6352,74.785323,256,288,,,,
"test(int, int, int)",3498949603,125568011,1,1,1,1024,1,1,37,304,6352,125.568011,257,311,,,,
"test(int, int, int)",3498950051,108736381,1,1,1,1024,1,1,37,304,6352,108.736381,258,284,,,,
"test(int, int, int)",3498950179,130588589,1,1,1,1024,1,1,37,304,6352,130.588589,259,298,,,,
"test(int, int, int)",3498950339,145957768,1,1,1,1024,1,1,37,304,6352,145.957768,260,301,,,,
"test(int, int, int)",3498950371,151577111,1,1,1,1024,1,1,37,304,6352,151.577111,261,312,,,,
"test(int, int, int)",3498950499,133889669,1,1,1,1024,1,1,37,304,6352,133.889669,262,300,,,,
"test(int, int, int)",3498950563,143238558,1,1,1,1024,1,1,37,304,6352,143.238558,263,290,,,,
